STT,Ten_Xa,F,Q_tb,Q_tb_kiet,sigma,X_tb,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X_nam_i,X_nam_j,h_nam_i,h_nam_j,V_reservoirs,flood_hours,X,X_mean,sigma_spi,salinity_val,K,k,H,h,W_13,w_13,M_xc,m,N,n,P_xl,P,S,S_tn,S_cham,W_18,PA,W_19,demand_increase,TC_dt,TC_nt,Z,z,P_school,p_total,Q_school,p_total_24
1,Đặc Khu Cát Hải,25.42,21.96,52.37,26.9,83.6,50.21,5,63.72,25.71,88.32,73.35,40.34,11.17,73.92,56.86,27.67,43.58,66.08,56.54,36.83,84.31,7.75,40.94,4.17,41.72,0.16,19.91,75,42.09,29.72,59.1,34.26,81.19,89.33,37.48,71.46,71.72,30.61,33.02,40.86,46.52,90.06,81.2,19.94,22.31,24.41,1.56,52.29,68.74,20.45,6.21,35.81,9.04,43.07
2,Đặc khu Cô Tô,31.3,72.18,94.54,20.44,2.18,73.61,98.22,83.82,17,52.77,24.78,57.64,66,29.59,31.76,17.33,61.08,24.16,44.97,79.51,46.99,28.91,21.39,14.05,23.4,19.72,98.41,11.28,13.74,63.7,3.53,8.17,77.17,81.98,80.34,19.49,30.08,78.58,66.52,72.92,26.66,76.44,87.99,24.12,45.52,62.71,19.39,82.05,86.9,88.17,41.8,50.08,90.62,13.92
3,Đặc khu Vân Đồn,23.28,20.21,68.36,75.72,77.44,53.39,26.32,49.45,78.08,17.43,16.32,59.54,80.78,83.77,0.89,59.43,45.94,30.05,61.28,51.76,28.8,34.44,72.52,64.44,85.72,93.82,23.83,25.38,69.32,28.38,29.44,77.74,99.57,59.49,46.38,88.22,87.22,42.11,42.61,29.36,78.29,36.22,53.09,31.74,78.77,95.63,30.05,85.78,47.41,26.74,56.03,52.3,52.03,8.92
4,Phường Ái Quốc,35.79,37.16,38.78,66.79,70.64,33.37,35.8,69.64,32.56,50.94,11.51,67.57,64.66,54.19,15.21,74.45,76.45,89.36,82.01,64.44,31.98,64.05,89.87,17.99,62.64,33.32,49.42,50.13,67.69,56.63,4.97,20.61,71.38,33.01,41.7,28.3,48.82,52.3,63.44,0.24,51.79,4.72,31.5,36.96,24.13,49.63,30.09,75.3,57.28,24.43,64.3,54.01,36.66,59.47
5,Phường An Biên,46.5,25.53,52.9,39.62,9.95,86.89,72.99,6.71,37.31,28.97,23.35,9.98,75.65,65.98,13.46,19.96,66.07,46.93,9.96,58.7,69.11,31.04,89.93,24.1,18.17,58.14,89.37,83.93,64.64,19.88,89.38,19.76,69.67,13.24,8.53,95.61,0.89,72.09,87.04,3.51,24.61,65.2,16.72,71.16,46.01,73.72,81.97,81.84,30.07,63.7,99.22,13.04,32.41,11.06
6,Phường An Dương,14.63,97.06,49.97,82.43,10.01,74.19,92.23,31.59,33.42,16.99,24.66,54.95,22.2,11,39.28,4.11,70.23,49.71,28.55,48.83,78.37,97.79,23.9,81.3,81.82,37.25,19.9,9.5,87.12,10.39,30.75,65.17,98.06,6.44,82.59,92.55,25.6,7.43,88.95,51.74,69.33,33.18,30.05,96.04,59.11,45.24,53.25,55.85,22.48,91.39,93.48,49.79,74.9,73.18
7,Phường An Hải,39.5,32.66,52.95,27.73,8.52,5.15,62.53,85.66,54.38,42.82,11.11,64.79,44.62,10.25,96.6,23.25,49.16,43.87,71.89,55.93,91.07,3.17,49.25,98.93,53.52,85.44,90.36,63.67,76.56,23.68,71.37,62.03,81.18,32.82,58.2,62.56,70.9,26.3,47.74,33.08,21.15,40.49,59.71,53.95,61.94,63.89,59.99,67.11,88.25,20.69,85.5,74.91,66.12,29.04
8,Phường An Phong,40.81,32.89,6.29,16.21,75.89,33.9,51.91,93.75,67.92,5.08,6.18,2.8,32.93,8.54,11.54,25.87,53.09,11.71,83.32,94.23,19.85,51.97,51.42,31.78,38.01,97.66,28.53,87.82,74.72,38.81,1.33,57.37,4.34,64.93,94.66,77.07,16.28,88.54,12.65,71.21,3.04,1.03,11.57,53.93,11.18,43.23,10.71,46.48,16.22,86.74,13.55,18.33,50.47,11.44
9,Phường An Sinh,29.4,68.54,35.73,8.61,60.14,44.83,88.15,3.29,35.58,80.87,42.65,79.54,31.73,14.88,39.21,74.67,67.23,17.61,55.37,59.67,48.24,36.19,8.64,52.4,28.91,77.54,91.2,62.41,48.03,93.88,14.4,39.58,9.2,20.3,68.86,3.95,12.16,15.59,64.03,55.59,72.6,29.08,29.19,22.08,10.09,22.71,37.02,91.16,49.14,6.48,65.84,75.05,54.83,4.98
10,Phường An Tường,23.62,5.56,47.07,67.7,88.7,14.62,60.21,39.56,45.17,21.06,21.02,13.91,8.26,16.75,6.54,63.42,80.17,84.87,54.72,54.67,93.92,29.65,48,88.92,32.64,8.47,64.92,28.43,77.32,9.52,80.84,87.79,78.07,32.4,29.73,37.84,37.97,66.81,92.83,63.03,66.13,16.45,32.47,2.26,74.46,9.7,47.02,61.29,81.31,28.26,39.59,82.51,47.11,81.84
